area_name,area_code,age,age_lower,age_higher,week_ending,weekly_admissions,weekly_rate
London,E40000003,0 - 5 years,0,5,2022-04-06,61,8.5
London,E40000003,0 - 5 years,0,5,2022-03-30,58,8.100000000000023
London,E40000003,0 - 5 years,0,5,2022-03-23,65,9.099999999999966
London,E40000003,0 - 5 years,0,5,2022-03-16,41,5.7000000000000455
London,E40000003,0 - 5 years,0,5,2022-03-09,54,7.5
London,E40000003,0 - 5 years,0,5,2022-03-02,39,5.5
London,E40000003,0 - 5 years,0,5,2022-02-23,41,5.699999999999989
London,E40000003,0 - 5 years,0,5,2022-02-16,47,6.5
London,E40000003,0 - 5 years,0,5,2022-02-09,60,8.399999999999977
London,E40000003,0 - 5 years,0,5,2022-02-02,78,10.900000000000034
London,E40000003,0 - 5 years,0,5,2022-01-26,98,13.699999999999989
London,E40000003,0 - 5 years,0,5,2022-01-19,101,14
London,E40000003,0 - 5 years,0,5,2022-01-12,82,11.5
London,E40000003,0 - 5 years,0,5,2022-01-05,125,17.399999999999977
London,E40000003,0 - 5 years,0,5,2021-12-29,108,15.100000000000023
London,E40000003,0 - 5 years,0,5,2021-12-22,70,9.799999999999983
London,E40000003,0 - 5 years,0,5,2021-12-15,42,5.800000000000011
London,E40000003,0 - 5 years,0,5,2021-12-08,26,3.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-12-01,20,2.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-11-24,22,3.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-11-17,24,3.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-11-10,15,2
London,E40000003,0 - 5 years,0,5,2021-11-03,12,1.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-10-27,20,2.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-10-20,23,3.1999999999999886
London,E40000003,0 - 5 years,0,5,2021-10-13,15,2.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-10-06,7,1
London,E40000003,0 - 5 years,0,5,2021-09-29,14,1.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-09-22,12,1.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-09-15,15,2.1000000000000227
London,E40000003,0 - 5 years,0,5,2021-09-08,20,2.799999999999983
London,E40000003,0 - 5 years,0,5,2021-09-01,35,4.900000000000006
London,E40000003,0 - 5 years,0,5,2021-08-25,24,3.3000000000000114
London,E40000003,0 - 5 years,0,5,2021-08-18,25,3.5
London,E40000003,0 - 5 years,0,5,2021-08-11,28,3.8999999999999773
London,E40000003,0 - 5 years,0,5,2021-08-04,24,3.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-07-28,27,3.700000000000017
London,E40000003,0 - 5 years,0,5,2021-07-21,25,3.499999999999986
London,E40000003,0 - 5 years,0,5,2021-07-14,26,3.700000000000003
London,E40000003,0 - 5 years,0,5,2021-07-07,12,1.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-06-30,8,1.1000000000000085
London,E40000003,0 - 5 years,0,5,2021-06-23,9,1.2999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-16,9,1.2999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-09,6,0.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-02,6,0.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-05-26,3,0.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-05-19,4,0.6000000000000085
London,E40000003,0 - 5 years,0,5,2021-05-12,5,0.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-05-05,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-04-28,1,0.10000000000000853
London,E40000003,0 - 5 years,0,5,2021-04-21,3,0.5
London,E40000003,0 - 5 years,0,5,2021-04-14,3,0.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-04-07,4,0.5
London,E40000003,0 - 5 years,0,5,2021-03-31,2,0.29999999999999716
London,E40000003,0 - 5 years,0,5,2021-03-24,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-03-17,2,0.29999999999999716
London,E40000003,0 - 5 years,0,5,2021-03-10,9,1.2000000000000028
London,E40000003,0 - 5 years,0,5,2021-03-03,10,1.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-02-24,16,2.299999999999997
London,E40000003,0 - 5 years,0,5,2021-02-17,14,1.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-02-10,21,3
London,E40000003,0 - 5 years,0,5,2021-02-03,20,2.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-01-27,40,5.6000000000000085
London,E40000003,0 - 5 years,0,5,2021-01-20,45,6.299999999999997
